date,ticker,rolling_sharpe_252d,rolling_sortino_252d,var_95_252d,cvar_95_252d,max_drawdown_60d
2024-12-24,^AXJO,0.7276978172852182,1.120414355363686,-1.2606149416169015,-1.7463370416288853,-3.2288798189694656
2024-12-27,^AXJO,0.7979120993854651,1.2282758411096286,-1.2606149416169015,-1.7463370416288853,-2.747438380013534
2024-12-30,^AXJO,0.7271444799137696,1.1196302509041838,-1.2606149416169015,-1.7463370416288853,-3.0629083403599378
2024-12-31,^AXJO,0.7696112429741858,1.1888820397622781,-1.2335393547553142,-1.7361569479447312,-3.9563528807914805
2025-01-02,^AXJO,0.8487268640210335,1.3107884188153756,-1.2335393547553142,-1.7361569479447312,-3.46077777145527
2025-01-03,^AXJO,0.9062994602645152,1.4009706864073248,-1.2335393547553142,-1.7361569479447312,-2.8804523694158646
2025-01-06,^AXJO,0.9911904646686163,1.5314589275676773,-1.2335393547553142,-1.7361569479447312,-2.43314095677879
2025-01-07,^AXJO,0.909063993462397,1.400611275920629,-1.2335393547553142,-1.7361569479447312,-2.473168155041594
2025-01-08,^AXJO,1.037932484550719,1.6010630916648068,-1.2335393547553142,-1.7361569479447312,-1.7198015653370424
2025-01-09,^AXJO,0.973253376853394,1.5014024568714301,-1.2335393547553142,-1.7361569479447312,-1.954044592046178
2025-01-10,^AXJO,0.9444653359858559,1.4579912103711754,-1.2335393547553142,-1.7361569479447312,-2.3672259783643956
2025-01-13,^AXJO,0.8331879638112568,1.2835095135629468,-1.2352377879913934,-1.7361569479447312,-3.5702548026602776
2025-01-14,^AXJO,0.9740368663717793,1.5029087138281279,-1.2352377879913934,-1.7361569479447312,-3.1099937522164667
2025-01-15,^AXJO,0.9810269016578383,1.5134296086502086,-1.2352377879913934,-1.7361569479447312,-3.3183489987740122
2025-01-16,^AXJO,1.152058185181431,1.7877336284699545,-1.2352377879913934,-1.7361569479447312,-1.9799438676596393
2025-01-17,^AXJO,1.0493164934052774,1.6237365990624617,-1.2352377879913934,-1.7361569479447312,-2.175343728679513
2025-01-20,^AXJO,1.0779115404667625,1.6719915018605842,-1.2352377879913934,-1.7361569479447312,-1.0970923953496303
2025-01-21,^AXJO,1.0529139987581193,1.632046853608027,-1.2352377879913934,-1.7361569479447312,-0.88167893519836
2025-01-22,^AXJO,1.0577630613183957,1.6395890955540608,-1.2352377879913934,-1.7361569479447312,-0.7698510820390858
2025-01-23,^AXJO,0.9617104163349371,1.491167186559923,-1.2352377879913934,-1.7361569479447312,-1.371362620321559
2025-01-24,^AXJO,0.9664888410077693,1.4987623160138712,-1.2352377879913934,-1.7361569479447312,-1.0158654617123508
2025-01-28,^AXJO,0.9312726328611467,1.4445620105504242,-1.2352377879913934,-1.7361569479447312,-1.1312339171303698
2025-01-29,^AXJO,0.8911164515151213,1.378255234344931,-1.2352377879913934,-1.7361569479447312,-0.5673815119636161
2025-01-30,^AXJO,1.104524229226705,1.72069226851805,-1.2352377879913934,-1.7361569479447312,0.0
2025-01-31,^AXJO,0.9649537274141141,1.4927341843348294,-1.2352377879913934,-1.7361569479447312,-0.20818242477529392
2025-02-03,^AXJO,0.8827384445048071,1.3544593462121661,-1.2606149416169015,-1.7786995352385002,-1.9964588314600684
2025-02-04,^AXJO,0.9293322578333878,1.4248547006983425,-1.2606149416169015,-1.7786995352385002,-2.0596205590623806
2025-02-05,^AXJO,0.9243822267674782,1.416943297709179,-1.2606149416169015,-1.7786995352385002,-1.5578674499177714
2025-02-06,^AXJO,1.0107166734030344,1.5576080800064358,-1.2606149416169015,-1.7786995352385002,-0.3438487901388232
2025-02-07,^AXJO,0.9947032166798847,1.5336582805442163,-1.2606149416169015,-1.7786995352385002,-0.4526171684312019
2025-02-10,^AXJO,0.9996835269018322,1.541247588846779,-1.2606149416169015,-1.7786995352385002,-0.7871230484111202
