date,tech_vs_broad,small_vs_large,equity_bond_ratio,equity_bond_rotation_10d,gold_silver_ratio,gold_silver_chg_5d,risk_appetite,spy_tlt_corr_30d
2024-04-23,-0.018197763509590903,0.013784373654000204,6.007557202422075,0.8674068461425044,8.605041826957606,0.35714281950889326,-0.0022066949277953496,0.04025529448996937
2024-04-24,-0.008135892115433974,0.014539532357685347,6.047498475484797,0.3297885218342067,8.62008042883326,1.4750608359976436,0.003201820121125687,0.08169148118640583
2024-04-25,-0.005491380725743289,0.010928245986517648,6.067077440450073,-0.5533146235607078,8.616121419411437,1.122314998662377,0.0027184326303871797,0.08834186279239944
2024-04-26,0.012974647970189324,0.0005708774573984776,6.092628594432695,1.8044293355446994,8.70309362913356,3.162946650927956,0.006772762713793901,0.11780767783711314
2024-04-29,0.012568556977928136,0.0031693171097875172,6.063355351960641,1.0097917559267255,8.706403275877047,0.6868436934979627,0.007868937043857827,0.14091478393486945
2024-04-30,0.006128799186568168,-0.006188242687898748,6.018712587300581,-0.21741493027067627,8.809563486002123,2.3767654260993476,-2.972175066529026e-05,0.19420392429658762
2024-05-01,-0.0016880655392776944,0.003081168313172067,5.955272870701672,0.4208987138046183,8.808817027349665,2.1894992752631515,0.0006965513869471862,0.16839387660907235
2024-05-02,0.0027135114722081077,0.014449351668983423,5.985292776967668,0.6255064166292845,8.749178963166562,1.544285848332616,0.008581431570595766,0.19187295516047925
2024-05-03,0.004432975700557451,0.0118848240463032,5.998779619666722,2.10676941910366,8.792733804762937,1.0299805959723018,0.008158899873430325,0.24381550906986127
2024-05-06,0.004567855362545448,0.009991188249210081,6.037208411793227,1.6518373024561717,8.583964881047482,-1.4063028204632677,0.007279521805877764,0.27368431886860406
2024-05-07,0.006846937815660814,0.016098551982503873,6.007236800471215,-0.0053333150241252625,8.595907145186658,-2.4252772700367298,0.011472744899082343,0.27143406823592875
2024-05-08,0.010327380152255872,0.00439558948583052,6.044453820312521,-0.05034569557345048,8.560320452907755,-2.820998252891127,0.007361484819043196,0.2733805350916565
2024-05-09,0.0030973968249767836,-0.0002665369122769601,6.04976750569112,-0.28530927664686123,8.389404169673481,-4.11209777520506,0.0014154299563499118,0.2527654399256688
2024-05-10,-0.0035684921437211248,-0.006741746647574098,6.091840314952964,-0.01293824935352239,8.487000497820205,-3.4771131906338404,-0.005155119395647612,0.24857289342018532
2024-05-13,-0.0019734985885504486,-0.007276809402451123,6.077147718798059,0.2274708645100043,8.382170577593977,-2.3508286234843134,-0.004625153995500786,0.25249985696412464
2024-05-14,0.0008292909895419864,-0.00269050541791227,6.070762844958517,0.8648071643720057,8.346345325006597,-2.9032633317799927,-0.0009306072141851418,0.2503089761009094
2024-05-15,0.004834451776597026,0.0034317251186857245,6.063192905348542,1.8121761502786438,8.144911229873411,-4.852729816828738,0.004133088447641375,0.30902676154189423
2024-05-16,0.008472207661461173,-0.006323816580072972,6.056633320193552,1.1919307189184325,8.131190063629743,-3.0778598911367916,0.0010741955406941006,0.3749056560752642
2024-05-17,0.005411755730407419,0.0019215042930642579,6.106489646560258,1.7955323202808238,7.768669557126779,-8.463896530675596,0.0036666300117358386,0.4692014304401973
2024-05-20,0.009134185605109924,0.0009948230997351981,6.13163914860654,1.5641457172300033,7.748792308685624,-7.556256020384621,0.005064504352422561,0.46735311455371326
2024-05-21,0.006731327322897274,-0.008247671164517634,6.115135064640121,1.7961380207359712,7.660744524110985,-8.214383352213739,-0.00075817192081018,0.47724593396787857
2024-05-22,0.006110212537357773,-0.013749677363284252,6.09021508561014,0.7570785824161153,7.79978759624524,-4.237291529493259,-0.0038197324129632393,0.4112921924106998
2024-05-23,0.008880403152619065,-0.017632687154530258,6.08488053184839,0.5804029018344758,7.8301273028898795,-3.70256700905931,-0.004376142000955596,0.4654025648387682
2024-05-24,0.013720774457664175,-0.012668648298919782,6.107044326047307,0.24957993493399666,7.783705838157686,0.19355027164351668,0.0005260630793721965,0.5534181512783417
2024-05-28,0.01095720779031606,-0.01573647734026118,6.200194036209451,2.024737970919821,7.462038445599566,-3.70062651911105,-0.00238963477497256,0.44089758940360396
2024-05-29,0.011303135160739997,-0.01990808073128625,6.232197555019268,2.6592162168682876,7.410353208664528,-3.2684984423953845,-0.004302472785273126,0.4736870612720086
2024-05-30,0.004498468920847931,0.0013800231696508014,6.1315927719029055,1.1281162849696935,7.620338027545148,-2.3006981470428456,0.0029392460452493663,0.4792998525159419
2024-05-31,-0.00918326755706056,0.010016865935439823,6.145711758444837,1.4707583164113025,7.755763734747996,-0.9497108446045122,0.00041679918918963166,0.48898334200689614
2024-06-03,-0.007427319152331524,-0.0009422947801623893,6.052820484448315,-0.8788873021699839,7.788454857454239,0.061012317208497535,-0.004184806966246957,0.48099216487014557
2024-06-04,-0.008871444590985877,-0.012868688620866986,5.989621313466265,-2.3161479613905467,7.967061459120267,6.767896161383602,-0.010870066605926432,0.4854633875208452
2024-06-05,-0.0007565182314506202,-0.0017940611377087468,6.0166610813995165,-1.6103321055002784,7.949635414480438,7.277415672782728,-0.0012752896845796835,0.5278153328109787
2024-06-06,0.003119441375199594,-0.025311561897962354,6.025582430377439,-1.0612540661398717,7.691201801424889,0.9299295336189894,-0.01109606026138138,0.5287769997224667
2024-06-07,0.014588562531724802,-0.03480005319734414,6.130730698540514,0.7535097271366809,7.934008455125565,2.2982226699220343,-0.010105745332809668,0.49700081640279514
2024-06-10,0.010928394825880039,-0.028185558800939092,6.190946111944178,1.3738525777358346,7.87389331408918,1.096988532368126,-0.008628581987529527,0.47789977549992013
2024-06-11,0.013841365048950394,-0.020012306122417778,6.142331660717919,-0.9332349141593421,8.017596452145757,0.6342990233574763,-0.003085470536733692,0.47064428872009023
